Buyer,Country,Invoices,USD,GTIP,Description,Email,Website,Phone
SKYLİNE CONCEPTOR,FAS,2,"$7,795",Profiller,ALÜMİNYUM PROFİL PRE-S,,,
ALWAND TRADING AND CONTRACTING,KATAR,1,"$7,791",Profiller,"MYCE2-422-4B00-205*21MUTO COMF8AORT L80 TAV2 AN PROFİL 4000 MM,MYC-422-00-213*MUTO COMFORT L80 KAPAK PROFİLİ 4+000 MM",,,
ECCO-PRODUCT 200 D.O.O NOVI PAZAR,SIRBİSTAN,1,"$7,790",,,,,"+38162786656, +037275302127, +00334267721, +0652575662357, +051406653792, +03727530212, +03342677217, 4230652575, 2521149051, 3816278665"
DOGUS INSAAT VE TICARET ANONIM SIRKETI MAGYARORSZÁGİ FİÓKTEL,MACARİSTAN,2,"$7,776",,,,,
GHAF TREE AWNİNGS MANUFACTURİNG LLC,BİRLEŞİK ARAP EMİRLİKLERİ,2,"$7,768",Profiller,25MM PROF }TK.3000 MM,,,
BRONCESVAL S.L.,İSPANYA,1,"$7,760",İçi boş profiller,"AL E2ÇUBU4BK 7075 21T6511 40 8AMM***1 (AL�2 �MİNYUM ALAŞIMLARINDAN ÇUBUK),AL ÇUBUK 7075 T6511 100 MM***2,AL ÇUB+UK 7075 T6511 80 MM***3",,,
COMEXPORT TRADING COM. EXTERIOR LTDA,BREZİLYA,1,"$7,750",,,,,
SONNENSCHUTZ.KIRALY GMBH,AVUSTURYA,2,"$7,742",Profiller,ALÜMİNYUM PROFİL (EL-OKSALLI),,,
ROLO JAN-AN DOOEL,KUZEY MAKEDONYA CUMHURİYETİ,1,"$7,741",Profiller,ALÜMİNYUM }PROFİL,"sale@slogold.net, slogold@slogold.net, kontakt@roloenterier.mk, rollodesign@gmail.com, rollodesign@gmail.comjan, info@companywall.com.mk","https://slogold.net/macedonia-types-companies.php, https://www.companywall.com.mk/Company/DeepGrade?name=роло-јан-ан-дооел-скопје&sid=jZ3q0, https://roloenterier.mk/контакт/","+5072366702, +50663668137, +14155135780, +50622215251, 5072366702, +025324003328, 4314620253, +4058020536465, 4838317074, +38975387170, +080023613237, 0766363301, +76636330197, 4080023613, 2100766363, +38975233572, +38976888333, 0173773376, +027395039729, +03921568627, +01960784314, 0196078431, +05882352941, +039215686275, +058823529412"
SAFCO  - SAFE LINE  FOR BUILDING TECHNOLOGY,İSRAİL,2,"$7,741",Profiller,NATURAL MAT ELOKSAL KAPLI ALÜMİNYUM PROF/İL | RENKLİ BOYALI ALÜMİN-YUM PROFİL,,,
AL BAU HANDELS GMBH,ALMANYA,3,"$7,740",Profiller | İçi boş profiller,152.01.0003 ALÜMİNYUM PROFİL PRES,,,
ROYAL KHANDAR LLC,UMMAN,3,"$7,737",Profiller,"1520103020001*RENKLİ BOYALI ALÜMİNYUM PR/OFİL | 6063 BOYALI (RENKLİ) PROFİLLER,6063 MAT /ELOKSALLI PROFİLLER | ALUMİNYUM PROFİL (EL-OKSAL KAPLAMALI) | ALUMİNYUM PROFİL (ELOKSAL KAPLAMALI)",,,
SC DENKA DOORS SRL,ROMANYA,1,"$7,734",Profiller,KENAR L PROFİL 3MT R-AL9005,"ofertare@denka-doors.ro, office@denka-doors.ro",https://www.denka-doors.ro,"+40745052950, 0753897765, 0745052950, 0332442432, 0732515022"
LITTEN TREE LTD,GÜRCİSTAN,8,"$7,730",Profiller,ALUMINYUM }PROFİL,info@littentree.ge,https://littentree.ge/,"+0828114954619, +0759255114654, 4659099903, 3082811495, 2845198419, 5559582781, 5941328710, 5139683304, 2810590500, 4704156437, 0389135244, 3185057027, 3458148101, 5190648128"
SEYTGULYYEW ARSLANMYRAT,TÜRKMENİSTAN,1,"$7,727",,,,,
PHILIP MORRIS CR A.S,ÇEK CUMHURİYETİ,1,"$7,727",Profiller,ALÜ1 MAT ELOKSALLI A-LÜMİNYUM PROFİL,,,
SRL ANTURAJ NOU,MOLDOVA,1,"$7,722",Profiller,KC1000-000-01*MEKANIK ISLEM GORMUS MONTA/JA HAZIR ALUMINYUM PROFIL(599 ADET),,,
GARANTİ HAN YAPI YALITIM LTD,GÜRCİSTAN,6,"$7,722",Profiller,,bilgi@garantihan.com.tr,https://www.garantihan.com.tr,"+905332509400, +08505771205, +05332509400, 3333333333, +04645115112, 4323881747, 4875172693"
GADAMLY HEREKET HUSUSY KARHANASY,TÜRKMENİSTAN,2,"$7,720",Çubuklar | İçi boş profiller,ALUMINYUM ÇITA BUTIL-LI,,,
ALULEX İNNOVATİON BG EOOD,BULGARİSTAN,9,"$7,719",İçi boş profiller,,,,"359876443175, 359056810121"
BOS PLASTICS SYSTEMS HUNGARY BT,MACARİSTAN,2,"$7,709",İçi boş profiller,ALÜMİNYUM PROFİL(BOY-ALI) | İÇİ BOŞ ALÜMİNYUM PR-OFİL (BOYALI),,,
PUERTAS 507 SA,PANAMA,6,"$7,707",Profiller,GOLA L BAĞLANTI ELEMANI GZR*GOLA PROFILE/ CONNECTOR | GOLA YATAY L PROFİL 4200 MM MAT SİYAH*GO/LA HORIZONTAL L PROFILE 4200 MM MATT BLACK | GOLA YATAY U PROFIL 4200 MM MAT SİYAH*GO/LA HORIZONTAL U PROFILE 4200 MM MATT BLACK,,,
ALFA WOOD TRADE AND WOOD INSTALLATION W.L.L.,KATAR,1,"$7,706",Profiller,,,,
TAWELA COMPANY-AHMAD HAWRAMI,IRAK,1,"$7,700",,,info@hawrami.co,https://hawrami.co,"9647701540205, 9647701520247, 9647501136666"
FORSTER VERKEHRS UND WERBETECHNIK GMBH,AVUSTURYA,1,"$7,696",İçi boş profiller,ALUMINYUM PROFİL    -*ALUMINYUM PROFİL,,,
VIRA KOZIJN & GLAS B.V.,HOLLANDA,7,"$7,695",Profiller,ALÜMİNYUM ALAŞIMLARINDAN DİĞER PROFİLLER/ ( BOYALI ) | ALÜMİNYUM PROFİL ( B-OYASIZ ),,,
STM DISPLAY SALES INC.,KANADA,3,"$7,687",Profiller,MASAÜSTÜ BROŞÜRLÜK-,,,
DAMEN SHIPYARDS ANT. DEN. ARA. SAN. VE TİC. LTD. ŞTİ.,ANTALYA SERBEST BÖLGE,11,"$7,686",Profiller,ALM LAMA 6}082 | ALM ÇUBUK }6082,,,
M.D.O,FRANSA,2,"$7,683",Profiller,"SİE2LENTG4BLİSS 121080  D W 8A PROFILE WH2 ITE CUT TO  ASSEMBLED HAND DRAWN CURTAIN TRACK  LENGTH / ALÜMİNYUM PERDE  PROFİLİ,SİLENTGLİSS 6010  D W  PROFILE WHITE CUT TO  ASSEMBLED HAND DRAWN CURTAIN TRACK  LENGTH / ALÜMİNYUM PERDE  PROFİLİ",,,
HEIGI CONSTRUCTION AGENCEMENT,FRANSA,1,"$7,681",Profiller,ALM. DELİKLİ KÖSE PR-OFİLİ | PROLİ_NE,,,
LA AFRICA PROCESSED FOOD AND PACKAGING TFZE,NİJERYA,2,"$7,680",,,,,
VAN DER BURGT KOZIJNEN BV,HOLLANDA,5,"$7,679",Profiller,ALÜMİNYUM ÇUBUKLAR VE PROFİLLER (İZOLASY/ONSUZ) | ALÜMİNYUM ÇUBUKLAR VE PROFİLLER(İZOLASYO/NSUZ),,,
GB-SOL LTD CURRENT CARDIFF,BİRLEŞİK KRALLIK,1,"$7,677",Profiller,,,,
JSC GEORGIAN BEER COMPANY,GÜRCİSTAN,2,"$7,673",Profiller,ALÜMİNYUM PROFİLLER -(BOYASIZ) | ALÜMİNYUM PROFİLLER--BOYALI,"export@zedazeni.ge, compliance@geobeer.ge, info@zedazeni.ge","https://tradewithgeorgia.com/companies/jsc-geogian-beer-company-1, https://flash.geobeer.ge/en/contact, https://zedazeni.ge/home/contact","+995322243535, +995322437770, +995322157770, +01528713966, +0431568207663, +0721562744826, +0826156757748, +061567578980, +14157201794, +0541526657157"
MBTP SA POINT JACQUES OPANGAULT (MOUKONDO),KONGO,3,"$7,670",,,,,
ARTİSTİCO SİSTEMS,BULGARİSTAN,2,"$7,668",İçi boş profiller,ALUMINYUM }PROFIL,office@artistico-systems.bg,http://artistico-systems.bg,"359888400277, 35932260000, 359885077211"
DARYAL COMPANY FOR GENERAL TRADING-FOOD TRADING IM,IRAK,1,"$7,666",Çubuklar,ALUMINYUM }ÇITA,,,
ALPHA INDUSTRIES AWT BVBA,BELÇİKA,1,"$7,665",İçi boş profiller,ALÜMİNYUM }PROFİL,,,
SARL BLUE CONSTRUCTION,FRANSA,1,"$7,661",Profiller,"153E2.99.14B12*10 M21M PARLAK 8AALUM.DIŞ K2 ÖŞE FAYANS ÇITASI,153.99.113*10 MM BOYALI  ALUM.DIŞ KÖŞE FAYANS PROF,153.99.114*12 MM PARLAK  ALUM.DIŞ KÖŞE FAYANS ÇIT 270 CM,153.99.115*12 MM BOYALI  ALUM.DIŞ KÖŞE FAYANS PROF 270 CM,153.99.116*10 MM ALUM.SATİNE KARE KÖŞE FAYANS PROF 270 CM,153.99.117*12 MM BOYALI ALUM. DIŞ KÖŞE FAYANS PROF 270 CM",,,
DİSPRO DİSPLAY-UND AUSSTELLUNGSBAU GMBH,AVUSTURYA,18,"$7,653",Profiller,ALUMINYUM }PROFIL | ÜRÜN PARÇA}SI,,,
IP20 PRAXİSEİNRİCHTUNG UG,ALMANYA,1,"$7,649",Profiller,,,,
ERKAYALAR ESE TİCARET LTD. ŞTİ.,KUZEY KIBRIS TÜRK CUMHURİYETİ,1,"$7,649",Profiller,"ALUE2MİNY4BUM PROF21İL PRES*8AALUMİNYUM 2 PROFİL PRES,ALÜMİNYUM PROFİL BOYALI*ALÜMİNYUM PROFİL BOYALI+",,,
LIVADI L.L.C,KOSOVA,2,"$7,649",Profiller,ALÜMİNYUM ELOKSALLI -PROFİL,"biotronik.bulgaria@biotronik.com, PristinaProcurement@state.gov, info@ua-region.com, info@myriadgenetics.eu","https://en.52wmb.com/buyer/177985826, https://www.ua-region.com.ua/en/44226393","0754009019, 0419000000, 3208909900, +8616621075894, 35924281673, 35924281670, 2424951736, 0429900000, 5407540090, 2490385987, 4750818376, 0000152404577, 081837651631, 50766765882, 07386300055, 4737073863, 5072602935"
"PODO ""BALTIKOM '",BEYAZ RUSYA,1,"$7,648",Profiller,,,,
CABBAROV SAHİB HASAN - AZERBAİJAN,AZERBEYCAN-NAHÇIVAN,2,"$7,643",,,,,
REDTECH INDUSTRY SRL,MOLDOVA,1,"$7,640",İçi boş profiller,ALÜMİNYUM PROFİL,,,
PROJEX COMPANY WLL,KATAR,1,"$7,639",Profiller,ALÜMİNYUM }PROFİL,,,
LECLUYSE NV,BELÇİKA,1,"$7,632",,,,,
HAGGARD OUTDOOR LIVING SYSTEM,BİRLEŞİK KRALLIK,1,"$7,620",Profiller,,,,
NUMERA D.O.O.,SIRBİSTAN,2,"$7,612",Profiller,"ALÜMİNYUM PROFİL(BOY-ASIZ) | AS E2A246 4B050 H5021B*ZEMİN 8APROFİLİ, 2 KAP.ALTI, BEJ FİTİL, H:50MM, L:3M,AS U243 100 H15V A00*ZEMİN PROFİLİ, KAP.ÜSTÜ, PRES, DELİK, H:15MM, L:3M,AS A0246 050 H15D A00*ZEMİN PR, KAP.ALTI, PRES, DELİK, H:15MM, L:3M","dekordom.web@numera.rs, dekordom3@numera.rs, dekordom7@numera.rs, dekordom9@numera.rs, dekordom.livingconcept@numera.rs, dekordom11@numera.rs, dekordom6@numera.rs, info@numera.rs","http://www.numera.rs, https://dekordom.rs/page/kontakt/","0216621748, 0216723744, 0216423745, 021520856, 069616625, 069616438, 069616439, 069616420"
HOMIX ELBAB,SURIYE ARAP CUM. (SURIYE),1,"$7,611",,,,,
LEVEXIM DESIGN SRL,ROMANYA,2,"$7,609",Profiller,AK-71 ALÜMİNYUM PROF-İL,,,
BURHANI IMPEX LTD,KENYA,1,"$7,608",Profiller,ALÜMİNYUM ÇUBUKLAR VE PROFİLLER (İZOLASY/ONSUZ) | ALÜMİNYUM ÇUBUKLAR VE PROFİLLER(İZOLASYO/NSUZ),,,
K FAIR 2025,ALMANYA,2,"$7,598",,,,,
LTD GZA MSHENEBELI 13,GÜRCİSTAN,1,"$7,598",Profiller,,,https://korter.ge/en/ltd-mshenebeli,"+995322054262, +995322054272, 4165252691, 5311128274, 4616337861"
HAS GASTRODESİGN GMBH,ALMANYA,2,"$7,597",Profiller,13 MM ALÜMİNYUM H GEÇİŞ PROFİLİ (2.7 M G/Rİ) | ALÜMİNYUM }PROFİL,,,
IMPRIMENDO SRLS,İTALYA,4,"$7,594",Profiller,"TEKSTİL PROFİLİ 45,6MM MAT BEYAZ ELOKSAL/*TEKSTİL PROFİLİ 45,6MM MAT BEYAZ ELOKSAL",,,
ALUSTER KFT.,MACARİSTAN,2,"$7,594",Profiller,"ALÜMİNYUM PROFİL PRE-S | ALÜMİNYUM PROFİL PRESS
ALÜMİNYUM PROFİL /PRES",,,
LİGHTHOUSE SUSTAİNABİLİTY LTD,YUNANİSTAN,3,"$7,592",Profiller,,,,
S.T.E FIGRAMA,FAS,3,"$7,589",Profiller,ALÜMİNYUM PROFİL,,,
RAKU STAHL & ALUMINIUM GMBH,ALMANYA,1,"$7,589",İçi boş profiller,1520103020001*RENKLİ BOYALI ALÜMİNYUM PR/OFİL,,,
REPSAM CONSTRUCTION LTD.,KUZEY KIBRIS TÜRK CUMHURİYETİ,1,"$7,589",Profiller,ALUMINYUM }ÇUBUK | ALÜMİNYUM PROFİL BOY-ALI | İŞLENMİŞ DİĞER RENK BOYALI AL. PROFİL/,,,
AL NOUR COMPANY FOR REFRIGERATION WORK,LİBYA,1,"$7,586",Profiller,ALÜMİNYUM PROFİL (BO-YASIZ) | ALÜMİNYUM PROFİL PRE-S,,,
WINDOWS CITY TRADING,KATAR,2,"$7,582",Profiller,ALM. ARA Ç}ITA 3 CM | ALÜMİNYUM PROFİL -FULYA 12.9*14.9 (KALIN/)*ALM-HMD-0043,,,
GK ASCENSEUR SARL,SENEGAL,4,"$7,578",Profiller,"20XE240 1.4B2 MM KU21TU (SM 118A ELOKSAL),22 0X40 1.2 MM KUTU PROFİLİ  (RAL 7016 MAT),ALDOKS 1.2 MM DAR KASA (SM 11 ELOKSAL),ALDOKS 1.2 MM DAR KASA (RAL 7016 MAT),ALDOKS 1.2 MM DAR ORTA KAYIT (SM 11 ELOKSAL),ALDOKS 1.2 MM DAR ORTA KAYIT (RAL 7016 MAT),ALDOKS 1 MM TEK CAM ÇITASI PROFİLİ (SM 11 ELOKSAL),ALDOKS 1 MM TEK CAM ÇITASI PROFİLİ (RAL 7016 MAT) | KASE2A PRO4BFİLİ 21-NAT.ELOK8ASAL,KASA PR2 OFİLİ - 7016 MAT,KANAT PROFİLİ (8 MM) -NAT.ELOKSAL,KANAT PROFİLİ ( 8MM) 7016 MAT 6,5 MT,KANAT PROFİLİ (10 MM) -NAT.ELOKSAL,KANAT PROFİLİ (10 MM) - 7016,YAN DİKME PROFİLİ - NAT.ELOKSAL,YAN DİKME PROFİLİ- 7016 MAT,KANAT TUTMA PROFİLİ -NAT.ELOKSAL,ÜST KASA PROFİLİ 5 Lİ  -NAT.ELOKSAL,VBS-L 01 KASA PROFİLİ- 7016 MAT | RAYE2 PROF4BİLİ,B21AZA PROF�8A�Lİ,YAN D�2 �KME PROFİLİ ,KANAT PROFİLİ,KİLİT PROFİLİ,KÖŞE PROFİLİ,KÖŞE PROFİLİ,ARA PROFİLİ,ÜST KASA ,ÜST KASA , ÜST RAY PROFİLİ,ARA ÇITA PROFİLİ,BİTİM PROFİLİ,MEKANİK BAĞLANTILI ÜST ÇITA PROFİLİ ,YAN DİKME  U  PROFİLİ ,KAPAK PROFİLİ,BAZA BİRLEŞİMİ PROFİLİ,KÖŞE BİRLEŞİM PROFİLİ-NAT.ELOKSAL 6,5 MT | ÜSE2T PRO4BFİL - 21PRES,CAM 8AÇITASI (TE2 KCAM) - PRES,VERANDA DERE PROFİLİ (PRES) (600 CM),VERANDA DUVAR PROFİLİ (PRES) (600 CM),VERANDA AYAK PROFİLİ (PRES) (600 CM),VERANDA YATAY PROFİLİ PRES (600 CM),VERANDA T KAPAK PROFİLİ PRES 600 CM,VERANDA L KAPAK PROFİLİ (PRES) (600 CM),VERANDA İÇ KAPAK PROFİLİ PRES (600 CM)",,,
ABRIGLASS,FRANSA,1,"$7,574",Profiller,ALÜMİNYUM }PROFİL,,,
CHARALAMPOS CHARALAMPOPOULOS,YUNANİSTAN,1,"$7,573",,,,,
ATON GREEN SOLUTIONS,AVUSTURYA,5,"$7,567",Profiller,"ISOTRAP MINI V.3 150,EASYCLAMP MİD V3 OR/TA - P ( BAĞLANTI ELEMANI )",,,
PROFİLE CO,YUNANİSTAN,1,"$7,566",Profiller,"ALM.KÜVET KENAR PRF 250 CM - TAKIM,10 MM/ LAMİNANT PARKE BİTİM PROFİLİ (270 CM)",,,
ATTOCK PETROLEUM LIMITED,PAKİSTAN,1,"$7,553",Profiller,"AL.E22014 4BT6511.12100*AL 2018A4 T6511 ÇU2 BUK 100 MM,AL.2014 T6511.110*AL 2014 T6511 ÇUBUK 110 MM,AL.2014 T6511.115*AL 2014 T6511 ÇUBUK 115 MM,AL.2014 T6511.125*AL 2014 T6511 ÇUBUK 125 MM,AL.2014 T6511.127*AL 2014 T6511 ÇUBUK 127 MM,AL.2014 T6511.140*AL 2014 T6511 ÇUBUK 140 MM",,,
LLC AST BUILDING,KIRGIZİSTAN,3,"$7,553",Profiller | İçi boş profiller,"05,E25 MM 4BAL.ISIC21AM ÇITAS8AI-0.20 MM-62  MT-D   *0.0657,07,5 MM AL.ISICAM ÇITASI-0,20 MM-6 MT-D*0.0729,09,5 MM AL.ISICAM ÇITASI-0,20 MM-6 MT-D*0.0828,11,5 MM AL.ISICAM ÇITASI-0,20 MM-6 MT-D*0.0819,13,5 MM AL.ISICAM ÇITASI-0,20 MM-6 MT-D*0.09675,17,5 MM AL.ISICAM ÇITASI-0,29 MM-6 MT-D*0.1602,19,5 MM AL.ISICAM ÇITASI-0,29 MM-6 MT-D*0.1719,21,5 MM AL.ISICAM",,,
SNC FABRICATION BENGHANEM ET FRERES,CEZAYİR,7,"$7,552",,,,,
RADMAT BUILDING PRODUCTS (B&Q),BİRLEŞİK KRALLIK,13,"$7,547",Profiller,ALUMİNYUM C PROFİL / F PROFİL (150 ADET)/ | ALÜMİNYUM }PROFİL,,,
HENDEL ALUMINUM AND PVC PROFILES,BULGARİSTAN,1,"$7,546",Profiller,,office@hendel.bg,www.hendel.bg,+359 2 923 40 00
SARL ODELI,FRANSA,2,"$7,544",Profiller,ALÜMİNYUM PROFİL ELO-KSALLI | ODL-106 SOĞ ALÜMİNYUM 1220 MM-EXT-00424 /REV-02,,,
FB FEINBLECH AG,İSVİÇRE,1,"$7,542",,ALÜMİNYUM }PROFİL,,,
YAGMUR GHANA LIMITED,GANA,13,"$7,536",Profiller,50*25*2MM TIRTIKLI  -KÖŞEBENT | 50*70*2 T }PROFİLİ | DERZ ÇITAS}I | KÖŞE ÇITAS}I,,,
LGG GLASS,GÜRCİSTAN,1,"$7,531",İçi boş profiller,06 MM ÇİFTCAM PROFİL-İ BUTİLLİ | 8 MM ÇİFTCAM PROFİLİ- BUTİLLİ,"sales@lgg.ge, lggzura@yahoo.com, info@lgg.ge",https://www.lgg.ge/,"+12345678910, 0322505012, +00000000000, +076923076923, +0769230769230, +07692307693, +00999999999, +0526315789473, +0789473684210, +05263157894"
PRUGENT DIAM EUROPE SHOP FITTING SOLUTIONS,FRANSA,1,"$7,528",İçi boş profiller,,,,
TOY ARKA H.K AŞKABAT/ AŞKABAT,TÜRKMENİSTAN,4,"$7,515",Profiller,"13.3822 50 MN 19 200 LÜK GRİYAJ ALÜM.PROFİL,13.3854 50 MN 60 205 LİK GRİYAJ ALÜM.PROFİL,13.3827 50 MN 14 120 LİK GRİYAJ AL.PRF,13.3859 50 MN 55 125 LİK GRİYAJ AL.PRF,13.3930 50 MN 636 (A02275) KASA AL.PRF,13.3931/3932 50 MN 641 YALITIMLI İZO ALÜM.PROFİL,12.3490 50 MN 67 KAPAK TIRNAKLI,13.3915 50 MN 73 YATAY KAPAK AL.PRF,12.3489 50 MN 72 KAPAK ALTI,",,,
BC INDUSTRIES EOOD BC INDUSTRIES EOOD,BULGARİSTAN,1,"$7,515",Profiller,,karieri@karieri.bg,,+359 2 4615 396
VAZHA ZOIDZE,GÜRCİSTAN,26,"$7,514",Profiller,İŞLENMİŞ ALÜMİNYUM PROFİL (10BAĞ)/ | İŞLENMİŞ ALÜMİNYUM PROFİL (11BAĞ)/ | İŞLENMİŞ ALÜMİNYUM PROFİL (16BAĞ)/ | İŞLENMİŞ ALÜMİNYUM PROFİL (17BAĞ)/ | İŞLENMİŞ ALÜMİNYUM PROFİL (32 BAĞ)/ | İŞLENMİŞ ALÜMİNYUM PROFİL(13 BAĞ)/,"teona_navdarashvili@wvi.org, vaja.zoidze.05@gmail.com, tbilisi.vazha@regus.com, contact@gnra.ge, info@insource.ge","https://www.wvi.org/stories/georgia/vazhas-journey-finding-purpose-giving-back, https://github.com/RePuLs05/, https://www.yell.ge/company.php?lan=geo&id=144722","+00000000000, +0148869343652, +030353939432, +4843387226, 0323332612, +035267468656, +0726976617465, 0352669636, 2394367911, 4014886934, 3160013382, 0722265810, +0795765794221, +0754293344615, +015658191005, +075684469438, +514788740, 0376738732, +09451363883, 0319566068, +521135434, +61006055560, +995598424290, +995322900872, 0461544148, +04259023551, 0425902355, 3526704615, 2449281454, 3042590235, 5322900872, +09155357712"
SALOMON IMMOBILIEN GMBH,ALMANYA,1,"$7,512",İçi boş profiller,C PROFILI BAGLANTI APARATI*700X900X1000 /PALET ÖLÇÜSÜ | PRES HASSAS KESIM ALÜMINYUM PROFIL(4.100/ MT),,,
VLADIMIR GEORGIEV,BULGARİSTAN,13,"$7,506",Profiller,,,,
BAUEN UAB,LİTVANYA,2,"$7,506",İçi boş profiller,ALÜMİNYUM PROFİL İÇİ- BOŞ (BOYALI),,,
AL-HAFFA FOR GENERAL TRADING IMPORT AND EXPORT PRIVATE LIMITED,IRAK,1,"$7,506",Profiller,8*18 GEORGIAN BAR *CARBON BLACK | 8*18 GEORGIAN BAR*PRESS | 8*18 GEORGIAN BAR*WHITE | 8*25 GEORGIAN BAR *CARBON BLACK | 8*25 GEORGIAN BAR*PRESS | 8*25 GEORGIAN BAR*WHITE | AL.PRF.6866.0022*MEKANİK İŞLEM GÖRMÜŞ AL/ÜMİNYUM ELOKSALLI PROFİL | AL.PRF.6866.0023*MEKANİK İŞLEM GÖRMÜŞ AL/ÜMİNYUM ELOKSALLI PROFİL | AL.PRF.6867.0039*MEKANİK İŞLEM GÖRMÜŞ AL/ÜMİNYUM ELOKSALLI PROFİL | AL.PRF.6867.0042*MEKANİK İŞLEM GÖRMÜŞ AL/ÜMİNYUM ELOKSALLI PROFİL,Zaid@al-haffa.com,https://www.al-haffa.com/,9647504721649
MERT MAKİNA YAVUZ DEMİROK KOLLEKTİF ŞİRKETİ,KAYSERİ SERBEST BÖLGE,25,"$7,501",,ALÜMİNYUM }SİGMA,,,
BENGHANEM IDRIS,CEZAYİR,12,"$7,499",Profiller | Çubuklar | İçi boş profiller,"3041 BOY KULP BOYALI 2,15 MT 18MM | 3041 BOY KULP BOYALI- 2,15 MT 18MM | 3041 BOY KULP TIRNAK-SIZ PVC KAPLI | 3041 BOY KULP TIRNAKSIZ PVC KAPLI | ALÜMİNYUM ÇERÇEVE | ALÜMİNYUM ÇERÇEVE-",,,
LLC CITY GLASS,ÖZBEKİSTAN,1,"$7,495",Profiller,ALM. PROFİL PRES - A-LM. PROFİL BOYALI,,,
ALKUTEC GMBH,ALMANYA,1,"$7,492",İçi boş profiller,ALÜMİNYUM PROFİL (BO-YASIZ),,,
SEA GROUP INTERNATIONAL ABIDJAN COCODY RIVIERA TRIANGLE,FİLDİŞİ SAHİLİ,1,"$7,490",,,,,
GO EXHIBITIONS GMBH,ALMANYA,1,"$7,490",Profiller,ALÜMİNYUM PROFİL RENKLİ BOYALI MAT SİYAH/,,,
ALJOUSOR FOR ALUMINYUM PVC INDUSTRY,LİBYA,1,"$7,486",Profiller,ALUMİNYUM }PROFİL | BOYALI ALÜMİNYUM PRO-FİL,,,
FLEXLINK AB,POLONYA,1,"$7,482",Profiller,,,,
PALAIS DE MARIAGE,FRANSA,1,"$7,482",Profiller,ALÜMİNYUM }DOĞRAMA,,,
PERGODREAM D.O.O,HIRVATİSTAN,1,"$7,480",Profiller,BOYALI KUT}U PROFİL,,,
TACO TENTS & AWNİNG CO LTD,SUUDİ ARABİSTAN,1,"$7,480",İçi boş profiller,"ALÜMİNYUM PROFİL RAL 9005 MAT BOYALI*153/.68 | AR E221 604B*120 TE21LESKOPİK8A GERGİ Sİ2 YAH*153.29.173,AR 07 ALÜM. GERGİ D.CAMA 55CM PARLAK*153.29.215,AR 21+ 60*120 TELESKOPİK GERGİ PARLAK*153.29.67",,,
VAUTH-SAGEL SYSTEMTECHNIK GMBH & CO. KG,ALMANYA,2,"$7,477",Profiller,MAT BEYAZ (NATURAL) -ELOKSAL (BMB),,,
D.F. APOSTOLOPOULOS & CO EE (DP PROFILES),YUNANİSTAN,3,"$7,475",,200 MM ZEMİN KAPAK P-ROFİLİ,,,
ALUMISTR SE,ÇEK CUMHURİYETİ,2,"$7,475",İçi boş profiller,"** ALÜMİNYUM PROFİL (BOYALI, KAĞIT KAPLA/NMAMIŞ, FİTİLSİZ) 2023/D1-05282  ** | ** ISI YALITIMLI ALÜMİNYUM PROFİL (BOYAL/I,KAĞIT KAPLANMAMIŞ) 2023/D1-05282  ** | ALÜMİNYUM }PROFİL | AL�E2�MİN4BYUM PRO21FİL ELOK8ASAL M.AVR.12 9-24MMISIYALITIMLI,ALÜMİNYUM PROFİL ELOKSAL MAT,ALÜMİNYUM PROFİL ELOKSAL MAT SİYAH RENKLİ,ALÜMİNYUM PROFİL RENKLİ ,ALÜMİNYUM PROFİL RENKLİ AVR.19-24 MM ISI YALITIMLI,ALÜMİNYUM PR",,,
SQUARE SANTIAGO SAS,DOMİNİK CUMHURİYETİ,1,"$7,470",Profiller,ALÜMİNYUM }PROFİL,,,
ÖZKAN KAPAK COMPANY,IRAK,3,"$7,453",Profiller,ÇIFT CAM P}ROFILI | ÇİFT CAM P}ROFİLİ,,,
SCHENKER STORES FRANCE SA,FRANSA,1,"$7,448",İçi boş profiller,,,,
FINESSE OUVERTURE,FRANSA,5,"$7,446",,,,,
SPS ENERGY KONS-GES.MBH,İTALYA,1,"$7,442",Profiller,"ISOBEAM TFX-1400 ( PROFİL )-ISOBEAM TFX-/1200,ISOBEAM TFX-2700 ( PROFİL ) | ISOE2FLAT 4BV3 CONN21ECTOR,ISO8ABEAM TFX-242 00 - ANA SET,ISOFLAT BS.3,ISOCLAMP L40-N,EASYCLAMP END U60 V.2 - BE - P ( PROFİL VE BAĞLANTI ELEMANLARI )-TFX KONEKTÖR-150 (TİLE),ISOTILE ALU,EASYCLAMP END U60 V.2 -",,,
HAMID ALASKAR COMPANY,SURIYE ARAP CUM. (SURIYE),2,"$7,440",Profiller,ALÜMİNYUM PROFİL ÖZE-L BOYALI | ALÜMİNYUM }PROFİL,,,
GERMAN QUALITY FOR WINDOWS&DOORS,KATAR,2,"$7,434",Profiller,,,,
SOCIETE DES TUBES D'ACIER ET D'ALUMINIUM DE CI,FİLDİŞİ SAHİLİ,6,"$7,427",Profiller,,,,
PROMOUNT (BV) (ALLIMEX GREEN POWER BV),BELÇİKA,1,"$7,423",Profiller,,,,
